ID;SEC00_CHAIN;FACT;PERIOD;YEAR;SUM
32;UNLAR;VOLUME;201401;2014;28,004,197,524
34;EV TEMIZLIGI ARACLARI;VOLUME;201401;2014;12,611,626
42;KETCAPLAR;VOLUME;201401;2014;2,431,848,345
1;MARGARINLER;VOLUME;201401;2014;8,610,855,360
66;BISKUVILER;VOLUME;201401;2014;22,423,562,896
103;GAZLI MESRUBATLAR;VOLUME;201401;2014;92,935,595,550
37;BEBEK ISLAK MENDILLERI;VOLUME;201401;2014;1,062,788,941
82;SALEPLER VE BOZALAR;VOLUME;201401;2014;2,917,912,115
76;MISIR GEVREKLERI;VOLUME;201401;2014;1,154,571,575
89;ENERJI VE SPOR ICECEKLERI;VOLUME;201401;2014;266,157,309
83;SABUNLAR VE DUS JELLERI;VOLUME;201401;2014;8,897,665,620
67;RECELLER;VOLUME;201401;2014;3,798,905,847.43
79;CIKOLATALAR;VOLUME;201401;2014;2,023,331,260.25
73;BEBEK MAMALARI;VOLUME;201401;2014;1,233,728,705
11;PIRINC UNLARI;VOLUME;201401;2014;189,363,150
24;HARDALLAR;VOLUME;201401;2014;25,797,340
46;HALI SAMPUANLARI;VOLUME;201401;2014;138,133,050
101;SAC SPREYLERI;VOLUME;201401;2014;28,888,620
61;TRAS ALETLERI;VOLUME;201401;2014;33,958
122;EL TEMIZLEME JELLERI VE KOPUKLERI;VOLUME;201401;2014;622,300
120;KOPUK JOLELER;VOLUME;201401;2014;6,863,325
104;CIKOLATA KAPLAMALAR;VOLUME;201402;2014;5,745,448,450
15;KAGIT URUNLERI;VOLUME;201402;2014;2,022,350,724
31;KURUYEMISLER;VOLUME;201402;2014;15,665,623,469.60
96;SAMPUANLAR;VOLUME;201402;2014;5,389,719,930
52;HIJYENIK PEDLER;VOLUME;201402;2014;148,391,275
23;TEREYAGLAR;VOLUME;201402;2014;5,307,377,586
37;BEBEK ISLAK MENDILLERI;VOLUME;201402;2014;1,107,104,296
49;TUZ;VOLUME;201402;2014;9,655,787,321
42;KETCAPLAR;VOLUME;201402;2014;2,680,714,771
112;SALCALAR;VOLUME;201402;2014;10,301,534,211
73;BEBEK MAMALARI;VOLUME;201402;2014;1,383,295,520
88;HAZIR PASTA UNLARI;VOLUME;201402;2014;248,148,213
70;PILLER;VOLUME;201402;2014;4,079,025
27;MAYALAR;VOLUME;201402;2014;372,973,602
115;ALKOLLU ICECEKLER;VOLUME;201402;2014;834,428,960
17;CEREZLER;VOLUME;201403;2014;2,675,324,666
65;PEYNIRLER;VOLUME;201403;2014;36,518,304,207.55
18;YOGURTLAR;VOLUME;201403;2014;71,800,815,022.80
33;PUDINGLER;VOLUME;201403;2014;3,178,116,564
112;SALCALAR;VOLUME;201403;2014;9,909,902,298.60
15;KAGIT URUNLERI;VOLUME;201403;2014;1,827,182,799
43;SAC BOYALARI;VOLUME;201403;2014;70,400,883.50
97;BIRALAR;VOLUME;201403;2014;3,490,691,860
7;HELVALAR;VOLUME;201403;2014;1,918,521,300.70
32;UNLAR;VOLUME;201403;2014;27,088,716,257
4;GRANUL ICECEKLER;VOLUME;201403;2014;181,938,232
42;KETCAPLAR;VOLUME;201403;2014;2,702,827,842
94;SIRKELER;VOLUME;201403;2014;1,886,026,173
19;AYRAN VE KREMA;VOLUME;201403;2014;4,279,269,028
24;HARDALLAR;VOLUME;201403;2014;31,525,290
26;KEDI-KOPEK MAMALARI;VOLUME;201403;2014;311,626,397
60;GUNES YAGLARI VE KREMLERI;VOLUME;201403;2014;5,586,375
69;YUMURTALAR;VOLUME;201404;2014;700,412,906.19
103;GAZLI MESRUBATLAR;VOLUME;201404;2014;95,353,856,410
49;TUZ;VOLUME;201404;2014;9,208,551,105
18;YOGURTLAR;VOLUME;201404;2014;78,360,786,155.30
80;MEYVE SULARI;VOLUME;201404;2014;26,379,073,130
38;SIVI YAGLAR;VOLUME;201404;2014;55,877,476,294
42;KETCAPLAR;VOLUME;201404;2014;2,658,581,053
118;KOLONYALAR;VOLUME;201404;2014;479,022,695
45;AGIZ GARGARALARI;VOLUME;201404;2014;80,722,740
14;TURK KAHVELERI;VOLUME;201404;2014;1,004,831,813
28;HAZIR CORBALAR;VOLUME;201404;2014;9,413,149,400
20;ET VE TAVUK SULARI;VOLUME;201404;2014;26,522,576,000
52;HIJYENIK PEDLER;VOLUME;201404;2014;135,134,425
109;LIMON-SALGAM SULARI;VOLUME;201404;2014;1,496,575,380
5;NONWEB;VOLUME;201404;2014;3,394,907,444.50
82;SALEPLER VE BOZALAR;VOLUME;201404;2014;867,739,280
100;KUMAS KOKU GIDERICILER;VOLUME;201404;2014;165,062,165
61;TRAS ALETLERI;VOLUME;201404;2014;35,553
51;PASTANE URUNLERI;VOLUME;201405;2014;80,789,777.50
80;MEYVE SULARI;VOLUME;201405;2014;26,560,898,190
48;EV YAPIMI URUNLER;VOLUME;201405;2014;100,474,342,304
16;BEYAZ ETLER;VOLUME;201405;2014;37,172,291,616.07
66;BISKUVILER;VOLUME;201405;2014;22,796,091,393.50
29;MAKARNALAR;VOLUME;201405;2014;27,853,832,196
53;ALUMINYUM FOLYOLAR VE STREC FILMLER;VOLUME;201405;2014;162,011,959.56
3;BULASIK DETERJANLARI;VOLUME;201405;2014;15,748,419,467
97;BIRALAR;VOLUME;201405;2014;3,706,416,410
20;ET VE TAVUK SULARI;VOLUME;201405;2014;25,747,439,000
100;KUMAS KOKU GIDERICILER;VOLUME;201405;2014;151,023,835
70;PILLER;VOLUME;201405;2014;4,273,655
89;ENERJI VE SPOR ICECEKLERI;VOLUME;201405;2014;330,678,772
61;TRAS ALETLERI;VOLUME;201405;2014;18,287
99;BEBEK PUDRALARI;VOLUME;201405;2014;4,367,010
123;TAHILLI ICECEKLER;VOLUME;201405;2014;48,150
103;GAZLI MESRUBATLAR;VOLUME;201406;2014;106,895,987,490
96;SAMPUANLAR;VOLUME;201406;2014;5,886,176,760
42;KETCAPLAR;VOLUME;201406;2014;2,772,475,192
14;TURK KAHVELERI;VOLUME;201406;2014;1,095,718,295.60
73;BEBEK MAMALARI;VOLUME;201406;2014;1,375,626,895
79;CIKOLATALAR;VOLUME;201406;2014;1,651,420,200.25
94;SIRKELER;VOLUME;201406;2014;1,916,484,433
112;SALCALAR;VOLUME;201406;2014;11,648,442,777
71;SAKIZLAR;VOLUME;201406;2014;128,990,546
75;DIS FIRCALARI;VOLUME;201406;2014;2,813,712
89;ENERJI VE SPOR ICECEKLERI;VOLUME;201406;2014;349,773,554
85;SAC KREMLERI;VOLUME;201406;2014;954,460,310
101;SAC SPREYLERI;VOLUME;201406;2014;34,296,372
10;YARABANTLARI;VOLUME;201406;2014;3,556,893
99;BEBEK PUDRALARI;VOLUME;201406;2014;8,621,085
86;TRAS LOSYONLARI;VOLUME;201406;2014;22,519,070
50;ET MAMULLERI;VOLUME;201407;2014;38,864,251,122.67
7;HELVALAR;VOLUME;201407;2014;1,688,445,049.10
103;GAZLI MESRUBATLAR;VOLUME;201407;2014;146,804,960,080
84;CAMASIR YUMUSATICILARI;VOLUME;201407;2014;18,322,446,660
