ID;SEC00_CHAIN;TRN00_PERIOD;VOL;VAL
1;MARGARINLER;201901;8,785,376,600;90,313,343.56
2;DONDURMALAR;201901;971,840,218.50;15,455,247.28
3;BULASIK DETERJANLARI;201901;19,246,127,477.20;226,321,366.81
4;GRANUL ICECEKLER;201901;69,012,894;996,069.55
5;NONWEB;201901;3,121,549,421.80;20,568,619.39
6;MAYONEZLER;201901;1,808,615,863;20,794,213.18
7;HELVALAR;201901;2,219,690,747.20;39,022,362.15
8;HEDIYELIK CIKOLATALAR;201901;267,513,355;8,301,616.88
9;KULAK TEMIZLEME CUBUGU;201901;207,068,606;2,775,588.30
10;YARABANTLARI;201901;2,035,162;184,949.21
11;PIRINC UNLARI;201901;218,902,475;4,172,356.10
12;AGIZ SAGLIGI;201901;28,108;197,599.22
13;EV TEMIZLIGI MADDELERI;201901;32,871,594,431.95;164,747,361.18
14;TURK KAHVELERI;201901;1,909,375,928;81,500,492.96
15;KAGIT URUNLERI;201901;1,951,954,327;299,085,872.26
16;BEYAZ ETLER;201901;44,091,309,789;491,543,243.50
17;CEREZLER;201901;3,499,831,690;100,417,678.62
18;YOGURTLAR;201901;78,704,550,585.20;377,982,507.70
19;AYRAN VE KREMA;201901;7,009,040,093;34,521,633.88
20;ET VE TAVUK SULARI;201901;32,435,049,700;12,237,279.80
21;AMPULLER;201901;757,764;6,182,894.53
22;CILT BAKIM URUNLERI;201901;541,201,407;46,779,270.30
23;TEREYAGLAR;201901;7,484,084,762;278,938,213.40
24;HARDALLAR;201901;26,500,295;707,545.70
25;AILE PLANLAMASI;201901;1,060,406;1,341,946.32
26;KEDI-KOPEK MAMALARI;201901;437,591,935;7,962,987.14
27;MAYALAR;201901;455,625,254;8,218,877.04
28;HAZIR CORBALAR;201901;7,118,224,040;15,140,817.62
29;MAKARNALAR;201901;31,271,988,708;108,819,747.34
30;MADEN SULARI;201901;17,941,403,180;59,307,778.27
31;KURUYEMISLER;201901;21,048,001,783.20;544,259,613.37
32;UNLAR;201901;40,015,366,676;105,841,368.93
33;PUDINGLER;201901;3,749,355,392;59,198,036.25
34;EV TEMIZLIGI ARACLARI;201901;18,925,038;19,799,794.50
35;HAZIR KAHVELER VE KREMALAR;201901;733,622,039.90;82,248,879.19
36;TURSULAR;201901;2,890,364,100;18,407,330.38
37;BEBEK ISLAK MENDILLERI;201901;1,487,979,561;87,082,425.60
38;SIVI YAGLAR;201901;64,167,273,039;506,745,077.68
39;COCUK BEZLERI;201901;301,124,459;218,380,913.30
40;BUZLU CAYLAR;201901;7,540,477,400;19,759,243.89
41;KAKAOLU SUT TOZLARI;201901;517,873,453;17,292,049.48
42;KETCAPLAR;201901;3,750,745,525;26,847,389.14
43;SAC BOYALARI;201901;100,919,889;20,731,878.37
44;KADIN PARFUMLERI;201901;33,458,197;19,180,428.38
45;AGIZ GARGARALARI;201901;74,046,790;2,768,612.93
46;HALI SAMPUANLARI;201901;85,011,537;1,395,226.19
47;Test Sector 1;201901;190,384,788,133.82;5,158,343,065.48
48;EV YAPIMI URUNLER;201901;138,145,471,837;0
49;TUZ;201901;7,671,381,425;13,238,817.59
50;ET MAMULLERI;201901;26,728,121,845.86;1,120,317,055.63
51;PASTANE URUNLERI;201901;1,278,314,130;16,569,658.86
52;HIJYENIK PEDLER;201901;178,324,960;73,696,927.70
53;ALUMINYUM FOLYOLAR VE STREC FILMLER;201901;236,485,558.04;22,855,762.27
54;SOSLAR;201901;746,631,419;14,653,846.17
55;TRAS BICAKLARI;201901;11,323,341;17,138,396.25
56;EV PARFUMLERI;201901;619,454;6,266,499.67
57;SAGLIK BEZLERI;201901;1,424,143;3,242,587.42
58;MALT ICECEKLER;201901;48,469,300;448,380
59;BEBEK BANYO KOPUKLERI;201901;65,209,100;878,809.69
60;GUNES YAGLARI VE KREMLERI;201901;5,099,900;1,273,685.37
61;TRAS ALETLERI;201901;20,749;540,202.17
62;SULAR;201901;700,537,615,820;340,280,553.67
63;BAKLIYAT;201901;71,064,697,503.20;414,842,743.79
64;CAYLAR;201901;13,726,958,515.60;370,979,891.79
65;PEYNIRLER;201901;44,872,754,043.80;985,167,944.03
66;BISKUVILER;201901;26,036,055,751.40;354,416,070.10
67;RECELLER;201901;4,424,547,741;97,178,364.35
68;KREM CIKOLATALAR;201901;6,973,103,448;135,695,300.35
69;YUMURTALAR;201901;887,071,922;515,537,376.03
